央视,#genre#
CCTV3,http://60.166.114.144:8888/rtp/238.1.78.170:7232
CCTV4,http://60.166.114.144:8888/rtp/238.1.78.236:7760
CCTV5,http://60.166.114.144:8888/rtp/238.1.78.171:7240
CCTV5+,http://60.166.114.144:8888/rtp/238.1.78.237:7768
CCTV6,http://60.166.114.144:8888/rtp/238.1.78.172:7248
CCTV7,http://60.166.114.144:8888/rtp/238.1.78.239:7784
CCTV8,http://60.166.114.144:8888/rtp/238.1.78.173:7256
CCTV9,http://60.166.114.144:8888/rtp/238.1.78.240:7792
CCTV10,http://60.166.114.144:8888/rtp/238.1.78.241:7800
CCTV11,http://60.166.114.144:8888/rtp/238.1.78.206:7502
CCTV12,http://60.166.114.144:8888/rtp/238.1.78.242:7808
CCTV13,http://60.166.114.144:8888/rtp/238.1.79.35:4392
CCTV14,http://60.166.114.144:8888/rtp/238.1.78.243:7816
CCTV15,http://60.166.114.144:8888/rtp/238.1.78.222:7648
CCTV17,http://60.166.114.144:8888/rtp/238.1.78.178:7296
CCTV电视指南,http://60.166.114.144:8888/rtp/238.1.79.53:4560
CCTV央视文化精品,http://60.166.114.144:8888/rtp/238.1.79.54:4568
CCTV女性时尚,http://60.166.114.144:8888/rtp/238.1.79.55:4576
CCTV兵器科技,http://60.166.114.144:8888/rtp/238.1.79.56:4584
CCTV风云足球,http://60.166.114.144:8888/rtp/238.1.79.57:4592
CCTV世界地理,http://60.166.114.144:8888/rtp/238.1.79.60:4616
CCTV怀旧剧场,http://60.166.114.144:8888/rtp/238.1.79.61:4624
CCTV风云剧场,http://60.166.114.144:8888/rtp/238.1.79.62:4632
CCTV第一剧场,http://60.166.114.144:8888/rtp/238.1.79.63:4640
CCTV风云音乐,http://60.166.114.144:8888/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://60.166.114.144:8888/rtp/238.1.79.58:4600
CCTV央视台球,http://60.166.114.144:8888/rtp/238.1.79.59:4608
中国教育CETV,http://60.166.114.144:8888/rtp/238.1.78.158:7136
中国教育CETV,http://60.166.114.144:8888/rtp/238.1.78.106:6720
空中课堂CETV,http://60.166.114.144:8888/rtp/238.1.78.107:6728
CCTV1,http://113.24.136.66:8084/udp/239.1.1.7:8007
CCTV2,http://113.24.136.66:8084/udp/239.1.1.8:8008
CCTV3,http://113.24.136.66:8084/udp/239.1.1.9:8009
CCTV4,http://113.24.136.66:8084/udp/239.1.1.10:8010
CCTV5,http://113.24.136.66:8084/udp/239.1.1.11:8011
CCTV5+,http://113.24.136.66:8084/udp/239.1.1.12:8012
CCTV6,http://113.24.136.66:8084/udp/239.1.1.13:8013
CCTV7,http://113.24.136.66:8084/udp/239.1.1.14:8014
CCTV8,http://113.24.136.66:8084/udp/239.1.1.15:8015
CCTV9,http://113.24.136.66:8084/udp/239.1.1.16:8016
CCTV10,http://113.24.136.66:8084/udp/239.1.1.17:8017
CCTV11,http://113.24.136.66:8084/udp/239.1.1.18:8018
CCTV12,http://113.24.136.66:8084/udp/239.1.1.19:8019
CCTV13,http://113.24.136.66:8084/udp/239.1.1.20:8020
CCTV14,http://113.24.136.66:8084/udp/239.1.1.21:8021
CCTV15,http://113.24.136.66:8084/udp/239.1.1.22:8022
CCTV16,http://113.24.136.66:8084/udp/239.1.1.122:8122
CCTV17,http://113.24.136.66:8084/udp/239.1.1.23:8023
CCTV女性时尚,http://113.24.136.66:8084/udp/239.1.1.89:8089
CCTV电视指南,http://113.24.136.66:8084/udp/239.1.1.90:8090
CCTV央视文化精品,http://113.24.136.66:8084/udp/239.1.1.91:8091
CCTV风云剧场,http://113.24.136.66:8084/udp/239.1.1.93:8093
CCTV第一剧场,http://113.24.136.66:8084/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://113.24.136.66:8084/udp/239.1.1.95:8095
CCTV风云音乐高请,http://113.24.136.66:8084/udp/239.1.1.96:8096
CCTV兵器科技,http://113.24.136.66:8084/udp/239.1.1.97:8097
CCTV世界地理,http://113.24.136.66:8084/udp/239.1.1.99:8099
CCTV央视台球,http://113.24.136.66:8084/udp/239.1.1.100:8100
CCTV风云足球,http://113.24.136.66:8084/udp/239.1.1.101:8101
CCTV高尔夫网球,http://113.24.136.66:8084/udp/239.1.1.102:8102
CCTV1,http://113.24.136.66:8083/udp/239.1.1.7:8007
CCTV2,http://113.24.136.66:8083/udp/239.1.1.8:8008
CCTV3,http://113.24.136.66:8083/udp/239.1.1.9:8009
CCTV4,http://113.24.136.66:8083/udp/239.1.1.10:8010
CCTV5,http://113.24.136.66:8083/udp/239.1.1.11:8011
CCTV5+,http://113.24.136.66:8083/udp/239.1.1.12:8012
CCTV6,http://113.24.136.66:8083/udp/239.1.1.13:8013
CCTV7,http://113.24.136.66:8083/udp/239.1.1.14:8014
CCTV8,http://113.24.136.66:8083/udp/239.1.1.15:8015
CCTV9,http://113.24.136.66:8083/udp/239.1.1.16:8016
CCTV10,http://113.24.136.66:8083/udp/239.1.1.17:8017
CCTV11,http://113.24.136.66:8083/udp/239.1.1.18:8018
CCTV12,http://113.24.136.66:8083/udp/239.1.1.19:8019
CCTV13,http://113.24.136.66:8083/udp/239.1.1.20:8020
CCTV14,http://113.24.136.66:8083/udp/239.1.1.21:8021
CCTV15,http://113.24.136.66:8083/udp/239.1.1.22:8022
CCTV16,http://113.24.136.66:8083/udp/239.1.1.122:8122
CCTV17,http://113.24.136.66:8083/udp/239.1.1.23:8023
CCTV女性时尚,http://113.24.136.66:8083/udp/239.1.1.89:8089
CCTV电视指南,http://113.24.136.66:8083/udp/239.1.1.90:8090
CCTV央视文化精品,http://113.24.136.66:8083/udp/239.1.1.91:8091
CCTV风云剧场,http://113.24.136.66:8083/udp/239.1.1.93:8093
CCTV第一剧场,http://113.24.136.66:8083/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://113.24.136.66:8083/udp/239.1.1.95:8095
CCTV风云音乐高请,http://113.24.136.66:8083/udp/239.1.1.96:8096
CCTV兵器科技,http://113.24.136.66:8083/udp/239.1.1.97:8097
CCTV世界地理,http://113.24.136.66:8083/udp/239.1.1.99:8099
CCTV央视台球,http://113.24.136.66:8083/udp/239.1.1.100:8100
CCTV风云足球,http://113.24.136.66:8083/udp/239.1.1.101:8101
CCTV高尔夫网球,http://113.24.136.66:8083/udp/239.1.1.102:8102
CCTV1,http://113.24.136.66:8082/udp/239.1.1.7:8007
CCTV2,http://113.24.136.66:8082/udp/239.1.1.8:8008
CCTV3,http://113.24.136.66:8082/udp/239.1.1.9:8009
CCTV4,http://113.24.136.66:8082/udp/239.1.1.10:8010
CCTV5,http://113.24.136.66:8082/udp/239.1.1.11:8011
CCTV5+,http://113.24.136.66:8082/udp/239.1.1.12:8012
CCTV6,http://113.24.136.66:8082/udp/239.1.1.13:8013
CCTV7,http://113.24.136.66:8082/udp/239.1.1.14:8014
CCTV8,http://113.24.136.66:8082/udp/239.1.1.15:8015
CCTV9,http://113.24.136.66:8082/udp/239.1.1.16:8016
CCTV10,http://113.24.136.66:8082/udp/239.1.1.17:8017
CCTV11,http://113.24.136.66:8082/udp/239.1.1.18:8018
CCTV12,http://113.24.136.66:8082/udp/239.1.1.19:8019
CCTV13,http://113.24.136.66:8082/udp/239.1.1.20:8020
CCTV14,http://113.24.136.66:8082/udp/239.1.1.21:8021
CCTV15,http://113.24.136.66:8082/udp/239.1.1.22:8022
CCTV16,http://113.24.136.66:8082/udp/239.1.1.122:8122
CCTV17,http://113.24.136.66:8082/udp/239.1.1.23:8023
CCTV女性时尚,http://113.24.136.66:8082/udp/239.1.1.89:8089
CCTV电视指南,http://113.24.136.66:8082/udp/239.1.1.90:8090
CCTV央视文化精品,http://113.24.136.66:8082/udp/239.1.1.91:8091
CCTV风云剧场,http://113.24.136.66:8082/udp/239.1.1.93:8093
CCTV第一剧场,http://113.24.136.66:8082/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://113.24.136.66:8082/udp/239.1.1.95:8095
CCTV风云音乐高请,http://113.24.136.66:8082/udp/239.1.1.96:8096
CCTV兵器科技,http://113.24.136.66:8082/udp/239.1.1.97:8097
CCTV世界地理,http://113.24.136.66:8082/udp/239.1.1.99:8099
CCTV央视台球,http://113.24.136.66:8082/udp/239.1.1.100:8100
CCTV风云足球,http://113.24.136.66:8082/udp/239.1.1.101:8101
CCTV高尔夫网球,http://113.24.136.66:8082/udp/239.1.1.102:8102
CCTV1,http://118.249.23.5:8989/udp/239.76.245.51:1234
CCTV1,http://118.249.23.5:8989/udp/239.76.246.151:1234
CCTV2,http://118.249.23.5:8989/udp/239.76.246.152:1234
CCTV3,http://118.249.23.5:8989/udp/239.76.246.153:1234
CCTV4,http://118.249.23.5:8989/udp/239.76.245.195:1234
CCTV4,http://118.249.23.5:8989/udp/239.76.246.154:1234
CCTV5,http://118.249.23.5:8989/udp/239.76.246.155:1234
CCTV5+,http://118.249.23.5:8989/udp/239.76.246.168:1234
CCTV6,http://118.249.23.5:8989/udp/239.76.246.156:1234
CCTV7,http://118.249.23.5:8989/udp/239.76.246.157:1234
CCTV8,http://118.249.23.5:8989/udp/239.76.246.158:1234
CCTV9,http://118.249.23.5:8989/udp/239.76.246.159:1234
CCTV10,http://118.249.23.5:8989/udp/239.76.246.160:1234
CCTV11,http://118.249.23.5:8989/udp/239.76.245.251:1234
CCTV12,http://118.249.23.5:8989/udp/239.76.246.162:1234
CCTV13,http://118.249.23.5:8989/udp/239.76.246.93:1234
CCTV14,http://118.249.23.5:8989/udp/239.76.246.164:1234
CCTV15,http://118.249.23.5:8989/udp/239.76.245.252:1234
CCTV16,http://118.249.23.5:8989/udp/239.76.246.98:1234
CCTV17,http://118.249.23.5:8989/udp/239.76.245.238:1234
CCTV16,http://118.249.23.5:8989/udp/239.76.246.214:1234
CCTV16,http://118.249.23.5:8989/udp/239.76.246.224:1234
CCTV16,http://118.249.23.5:8989/udp/239.76.246.230:1234
CCTV4,http://118.249.23.5:8989/udp/239.76.246.95:1234
CCTV4,http://118.249.23.5:8989/udp/239.76.246.96:1234
CCTV4,http://118.249.23.5:8989/udp/239.76.253.96:9000
CCTV4,http://118.249.23.5:8989/udp/239.76.253.95:9000
CCTV1,http://118.249.23.5:8989/udp/239.76.253.151:9000
CCTV2,http://118.249.23.5:8989/udp/239.76.253.152:9000
CCTV3,http://118.249.23.5:8989/udp/239.76.253.153:9000
CCTV4,http://118.249.23.5:8989/udp/239.76.253.154:9000
CCTV5,http://118.249.23.5:8989/udp/239.76.253.155:9000
CCTV5+,http://118.249.23.5:8989/udp/239.76.253.168:9000
CCTV6,http://118.249.23.5:8989/udp/239.76.253.156:9000
CCTV7,http://118.249.23.5:8989/udp/239.76.253.157:9000
CCTV8,http://118.249.23.5:8989/udp/239.76.253.158:9000
CCTV9,http://118.249.23.5:8989/udp/239.76.253.159:9000
CCTV10,http://118.249.23.5:8989/udp/239.76.253.160:9000
CCTV12,http://118.249.23.5:8989/udp/239.76.253.162:9000
CCTV13,http://118.249.23.5:8989/udp/239.76.253.93:9000
CCTV14,http://118.249.23.5:8989/udp/239.76.253.164:9000
CCTV16,http://118.249.23.5:8989/udp/239.76.253.98:9000
CCTV16,http://118.249.23.5:8989/udp/239.76.253.214:9000
CCTV16,http://118.249.23.5:8989/udp/239.76.254.200:9000
CCTV16,http://118.249.23.5:8989/udp/239.76.253.224:9000
CCTV16,http://118.249.23.5:8989/udp/239.76.253.230:9000
CCTV1,http://117.89.53.76:3333/rtp/239.49.8.129:6000
CCTV2,http://117.89.53.76:3333/rtp/239.49.8.130:6000
CCTV3,http://117.89.53.76:3333/rtp/239.49.9.31:6000
CCTV4,http://117.89.53.76:3333/rtp/239.49.8.131:6000
CCTV5,http://117.89.53.76:3333/rtp/239.49.9.32:6000
CCTV5+,http://117.89.53.76:3333/rtp/239.49.8.137:6000
CCTV6,http://117.89.53.76:3333/rtp/239.49.9.33:6000
CCTV7,http://117.89.53.76:3333/rtp/239.49.8.132:6000
CCTV8,http://117.89.53.76:3333/rtp/239.49.9.34:6000
CCTV9,http://117.89.53.76:3333/rtp/239.49.8.133:6000
CCTV10,http://117.89.53.76:3333/rtp/239.49.8.134:6000
CCTV12,http://117.89.53.76:3333/rtp/239.49.8.135:6000
CCTV13,http://117.89.53.76:3333/rtp/239.49.9.43:6000
CCTV14,http://117.89.53.76:3333/rtp/239.49.8.136:6000
CCTV1,http://117.89.53.76:3333/rtp/239.49.1.1:6000
CCTV2,http://117.89.53.76:3333/rtp/239.49.1.2:6000
CCTV3,http://117.89.53.76:3333/rtp/239.49.1.3:6000
CCTV4,http://117.89.53.76:3333/rtp/239.49.1.4:6000
CCTV5,http://117.89.53.76:3333/rtp/239.49.1.5:6000
CCTV6,http://117.89.53.76:3333/rtp/239.49.1.6:6000
CCTV7,http://117.89.53.76:3333/rtp/239.49.1.254:6000
CCTV8,http://117.89.53.76:3333/rtp/239.49.1.8:6000
CCTV10,http://117.89.53.76:3333/rtp/239.49.1.10:6000
CCTV11,http://117.89.53.76:3333/rtp/239.49.1.11:6000
CCTV12,http://117.89.53.76:3333/rtp/239.49.1.12:6000
CCTV13,http://117.89.53.76:3333/rtp/239.49.1.13:6000
CCTV14,http://117.89.53.76:3333/rtp/239.49.1.14:6000
CCTV15,http://117.89.53.76:3333/rtp/239.49.1.15:6000
CCTV17,http://117.89.53.76:3333/rtp/239.49.1.7:6000
CCTV1,http://123.145.52.109:8004/udp/225.0.4.74:7980
CCTV2,http://123.145.52.109:8004/udp/225.0.4.132:7980
CCTV3,http://123.145.52.109:8004/udp/225.0.4.142:7980
CCTV4,http://123.145.52.109:8004/udp/225.0.4.176:7980
CCTV5,http://123.145.52.109:8004/udp/225.0.4.143:7980
CCTV5+,http://123.145.52.109:8004/udp/225.0.4.73:7980
CCTV6,http://123.145.52.109:8004/udp/225.0.4.144:7980
CCTV7,http://123.145.52.109:8004/udp/225.0.4.127:7980
CCTV8,http://123.145.52.109:8004/udp/225.0.4.137:7980
CCTV9,http://123.145.52.109:8004/udp/225.0.4.131:7980
CCTV10,http://123.145.52.109:8004/udp/225.0.4.130:7980
CCTV11,http://123.145.52.109:8004/udp/225.0.4.218:7980
CCTV12,http://123.145.52.109:8004/udp/225.0.4.129:7980
CCTV13,http://123.145.52.109:8004/udp/225.0.4.219:7980
CCTV14,http://123.145.52.109:8004/udp/225.0.4.128:7980
CCTV15,http://123.145.52.109:8004/udp/225.0.4.220:7980
CCTV17,http://123.145.52.109:8004/udp/225.0.4.179:7980
CCTV1,http://123.145.52.109:8001/udp/225.0.4.74:7980
CCTV2,http://123.145.52.109:8001/udp/225.0.4.132:7980
CCTV3,http://123.145.52.109:8001/udp/225.0.4.142:7980
CCTV4,http://123.145.52.109:8001/udp/225.0.4.176:7980
CCTV5,http://123.145.52.109:8001/udp/225.0.4.143:7980
CCTV5+,http://123.145.52.109:8001/udp/225.0.4.73:7980
CCTV6,http://123.145.52.109:8001/udp/225.0.4.144:7980
CCTV7,http://123.145.52.109:8001/udp/225.0.4.127:7980
CCTV8,http://123.145.52.109:8001/udp/225.0.4.137:7980
CCTV9,http://123.145.52.109:8001/udp/225.0.4.131:7980
CCTV10,http://123.145.52.109:8001/udp/225.0.4.130:7980
CCTV11,http://123.145.52.109:8001/udp/225.0.4.218:7980
CCTV12,http://123.145.52.109:8001/udp/225.0.4.129:7980
CCTV13,http://123.145.52.109:8001/udp/225.0.4.219:7980
CCTV14,http://123.145.52.109:8001/udp/225.0.4.128:7980
CCTV15,http://123.145.52.109:8001/udp/225.0.4.220:7980
CCTV17,http://123.145.52.109:8001/udp/225.0.4.179:7980
CCTV1,http://123.145.52.109:8005/udp/225.0.4.74:7980
CCTV2,http://123.145.52.109:8005/udp/225.0.4.132:7980
CCTV3,http://123.145.52.109:8005/udp/225.0.4.142:7980
CCTV4,http://123.145.52.109:8005/udp/225.0.4.176:7980
CCTV5,http://123.145.52.109:8005/udp/225.0.4.143:7980
CCTV5+,http://123.145.52.109:8005/udp/225.0.4.73:7980
CCTV6,http://123.145.52.109:8005/udp/225.0.4.144:7980
CCTV7,http://123.145.52.109:8005/udp/225.0.4.127:7980
CCTV8,http://123.145.52.109:8005/udp/225.0.4.137:7980
CCTV9,http://123.145.52.109:8005/udp/225.0.4.131:7980
CCTV10,http://123.145.52.109:8005/udp/225.0.4.130:7980
CCTV11,http://123.145.52.109:8005/udp/225.0.4.218:7980
CCTV12,http://123.145.52.109:8005/udp/225.0.4.129:7980
CCTV13,http://123.145.52.109:8005/udp/225.0.4.219:7980
CCTV14,http://123.145.52.109:8005/udp/225.0.4.128:7980
CCTV15,http://123.145.52.109:8005/udp/225.0.4.220:7980
CCTV17,http://123.145.52.109:8005/udp/225.0.4.179:7980
CCTV1,http://114.253.74.208:8686/rtp/239.3.1.129:8008
CCTV2,http://114.253.74.208:8686/rtp/239.3.1.60:8084
CCTV3,http://114.253.74.208:8686/rtp/239.3.1.172:8001
CCTV4,http://114.253.74.208:8686/rtp/239.3.1.105:8092
CCTV5,http://114.253.74.208:8686/rtp/239.3.1.173:8001
CCTV5+,http://114.253.74.208:8686/rtp/239.3.1.130:8004
CCTV6,http://114.253.74.208:8686/rtp/239.3.1.174:8001
CCTV7,http://114.253.74.208:8686/rtp/239.3.1.61:8104
CCTV8,http://114.253.74.208:8686/rtp/239.3.1.175:8001
CCTV9,http://114.253.74.208:8686/rtp/239.3.1.62:8112
CCTV10,http://114.253.74.208:8686/rtp/239.3.1.63:8116
CCTV11,http://114.253.74.208:8686/rtp/239.3.1.152:8120
CCTV12,http://114.253.74.208:8686/rtp/239.3.1.64:8124
CCTV13,http://114.253.74.208:8686/rtp/239.3.1.124:8128
CCTV14,http://114.253.74.208:8686/rtp/239.3.1.65:8132
CCTV15,http://114.253.74.208:8686/rtp/239.3.1.153:8136
CCTV16,http://114.253.74.208:8686/rtp/239.3.1.183:8001
CCTV16,http://114.253.74.208:8686/rtp/239.3.1.184:8001
CCTV17,http://114.253.74.208:8686/rtp/239.3.1.151:8144
CCTV4,http://114.253.74.208:8686/rtp/239.3.1.213:4220
